Time (s),Value A
0.05649447441101074,9.11
0.10596632957458496,6.48
0.15613031387329102,6.85
0.20602178573608398,12.44
0.25611400604248047,10.58
0.30624938011169434,13.3
0.35644984245300293,7.68
0.4058995246887207,11.48
0.45555615425109863,9.05
0.5062384605407715,11.35
0.5562231540679932,12.24
0.606436014175415,10.29
0.6563863754272461,11.53
0.7055671215057373,9.89
0.7559449672698975,10.44
0.8061444759368896,8.94
0.856459379196167,11.91
0.9056663513183594,11.31
0.956449031829834,12.8
1.0063509941101074,10.9
1.0556633472442627,9.32
1.1059644222259521,12.88
1.156202793121338,10.39
1.2060983180999756,8.48
1.2562782764434814,12.4
1.305593490600586,11.95
1.355792760848999,9.21
1.4061250686645508,11.0
1.456244707107544,10.9
1.5056235790252686,9.05
1.5558135509490967,10.09
1.6057567596435547,12.48
1.6559534072875977,10.04
1.7058706283569336,9.59
1.7560415267944336,14.52
1.8058850765228271,12.72
1.856088638305664,7.93
1.9058597087860107,12.48
1.956333875656128,8.12
2.005701780319214,8.36
2.055957555770874,6.78
2.106006622314453,12.4
2.1562440395355225,8.18
2.2057390213012695,6.48
2.25589919090271,13.92
2.306481122970581,8.48
2.355849027633667,5.47
2.406111240386963,8.88
2.4559009075164795,9.48
2.5060572624206543,6.78
2.5558502674102783,6.4
2.60619854927063,9.05
2.656332015991211,9.16
2.705500364303589,11.35
2.7563445568084717,10.72
2.8057117462158203,10.34
2.8559622764587402,6.55
2.9059484004974365,12.4
2.9564285278320312,13.82
3.005903482437134,8.48
3.0560929775238037,6.78
3.1057629585266113,7.28
3.1560070514678955,9.69
3.2059760093688965,7.61
3.2561583518981934,10.29
3.305732250213623,6.78
3.355884075164795,8.06
3.406491279602051,11.83
3.455854654312134,11.0
3.5060672760009766,6.63
3.556412935256958,11.04
3.6055688858032227,13.03
3.6562154293060303,8.3
3.7058498859405518,8.06
3.7560598850250244,10.86
3.805835008621216,10.86
3.8560352325439453,9.43
3.905891180038452,7.14
3.9563956260681152,6.78
4.005773305892944,7.68
4.055943727493286,7.34
4.105740308761597,4.58
4.1559202671051025,7.68
4.205929279327393,11.44
4.256094932556152,9.21
4.305746078491211,9.16
4.3559041023254395,14.69
4.405766248703003,7.07
4.455928325653076,8.0
4.505934476852417,6.32
4.556100368499756,12.64
4.605756998062134,8.18
4.655946731567383,11.13
4.705933094024658,8.83
4.756111145019531,10.67
4.805884838104248,8.0
4.8560991287231445,10.04
4.905870199203491,12.2
4.956363677978516,10.0
5.00586724281311,8.6
5.056057929992676,7.21
5.105568885803223,13.63
5.15576958656311,8.42
5.206275224685669,9.84
5.256459951400757,8.24
5.305877208709717,7.34
5.356069803237915,8.88
5.405900001525879,11.74
5.456101655960083,9.05
5.505892992019653,5.09
5.556066513061523,7.68
5.6055707931518555,12.6
5.6557745933532715,7.81
5.706374645233154,7.87
5.755884170532227,10.58
5.806069612503052,10.63
5.855560302734375,12.76
5.905754804611206,8.3
5.955874681472778,4.0
6.006167650222778,10.29
6.0561628341674805,12.84
6.1064043045043945,7.41
6.155931234359741,7.0
6.206106901168823,7.14
6.255930185317993,3.0
6.30624794960022,6.78
6.356286525726318,6.08
6.405489206314087,10.09
6.456091403961182,5.38
6.50583553314209,10.0
6.556098461151123,9.43
6.605892658233643,13.26
6.656065940856934,9.27
6.705797433853149,9.27
6.75596022605896,11.95
6.806424617767334,14.24
6.855628252029419,10.0
6.906504392623901,10.34
6.9561450481414795,13.03
7.006443500518799,15.19
7.0559258460998535,8.0
7.106199264526367,8.48
7.155904054641724,13.92
7.2060582637786865,12.64
7.255882740020752,4.0
7.306039094924927,9.38
7.355638265609741,9.0
7.405801057815552,11.13
7.456333637237549,6.48
7.50583028793335,10.09
7.556077480316162,11.53
7.60590386390686,7.54
7.656067609786987,6.78
7.7058539390563965,11.04
7.756009101867676,5.91
7.805851221084595,7.07
7.8560569286346436,9.48
7.906494855880737,9.94
7.955979585647583,4.79
8.005850315093994,4.69
8.05601191520691,7.93
8.105626106262207,5.29
8.155803680419922,12.16
8.206488132476807,10.77
8.255922079086304,4.35
8.306159973144531,8.94
8.356348991394043,7.07
8.405514478683472,6.0
8.45644211769104,10.19
8.505841970443726,10.9
8.556000471115112,12.0
8.605862379074097,11.91
8.656022787094116,1.41
8.705803394317627,4.89
8.755967140197754,8.24
8.805552005767822,10.14
8.855747938156128,1.41
8.906304359436035,7.61
8.956133842468262,10.14
9.006461143493652,7.41
9.05589246749878,10.67
9.10607647895813,7.48
9.155862092971802,10.14
9.206032037734985,7.14
9.255873680114746,12.84
9.306060075759888,5.91
9.35587739944458,9.27
9.406048774719238,6.4
9.455967664718628,13.07
9.506189823150635,6.0
9.55588674545288,9.05
9.60606861114502,7.14
9.655893802642822,9.05
9.706053733825684,5.09
9.755874395370483,7.34
9.80602478981018,7.21
9.85588788986206,3.87
9.906044244766235,10.29
9.956239938735962,8.94
10.006434202194214,9.43
10.055908441543579,8.0
10.106102228164673,10.72
10.155844688415527,8.83
10.205998182296753,4.24
10.25584888458252,5.29
10.306035280227661,8.24
10.35590672492981,6.92
10.40607500076294,8.42
10.455864191055298,7.74
10.506027936935425,12.12
10.555944681167603,4.89
10.60612416267395,7.21
10.65601921081543,9.74
10.706197261810303,13.07
10.755881786346436,6.24
10.806035041809082,10.72
10.85601258277893,5.47
10.906173467636108,9.84
10.956209421157837,7.81
11.006466388702393,5.47
11.056024074554443,11.91
11.106214046478271,10.39
11.155903816223145,5.0
11.206063270568848,8.66
11.255905628204346,9.43
11.30605673789978,7.48
11.355992555618286,8.36
11.406148672103882,9.43
11.455905199050903,8.42
11.506062746047974,13.3
11.555978298187256,6.08
11.606166362762451,4.47
11.65591549873352,2.44
11.706090211868286,7.14
11.75590205192566,13.22
11.806062936782837,3.16
11.856005668640137,1.73
11.906178712844849,9.53
11.956221342086792,10.39
12.006412029266357,9.21
12.056034803390503,1.73
12.106217384338379,5.56
12.155816793441772,8.3
12.205971240997314,8.42
12.255886793136597,7.28
12.30605173110962,7.87
12.355884552001953,11.4
12.406050682067871,3.74
12.455885410308838,7.0
12.506043910980225,10.14
12.555912971496582,7.48
12.606097221374512,13.26
12.655868291854858,2.0
12.706056118011475,4.58
12.755835771560669,10.95
12.805988788604736,11.04
12.855983972549438,8.3
12.906144618988037,6.0
12.956144094467163,9.43
13.006322145462036,9.16
13.056024312973022,11.78
13.10620927810669,5.29
13.155852556228638,9.11
13.20601487159729,10.77
13.255637884140015,7.34
13.305796384811401,10.58
13.35643458366394,7.61
13.405734300613403,1.73
13.456014156341553,12.64
13.505887746810913,2.44
13.556078433990479,6.4
13.605995416641235,1.41
13.656205892562866,5.29
13.705813646316528,7.34
13.755993127822876,7.74
13.805773258209229,6.85
13.855988502502441,4.0
13.905781507492065,11.31
13.956276655197144,1.73
14.005867958068848,8.66
14.056089401245117,7.74
14.105805158615112,9.05
14.15596628189087,11.61
14.205926656723022,4.24
14.256128787994385,8.83
14.305977582931519,12.32
14.35617971420288,1.41
14.405925989151001,4.69
14.456122875213623,9.05
14.505888223648071,5.38
14.55606746673584,9.74
14.60593867301941,9.05
14.656139135360718,9.64
14.705889701843262,6.55
14.756096124649048,8.54
14.80585527420044,8.42
14.856056690216064,7.28
14.905869960784912,3.87
14.956360340118408,12.2
15.00572681427002,1.41
15.055904388427734,2.64
15.105772018432617,4.69
15.155937671661377,13.19
15.205893993377686,8.77
15.256071090698242,7.07
15.305824279785156,7.61
15.355980157852173,12.04
15.405729055404663,11.95
15.455890417098999,11.22
15.50582504272461,2.0
15.555999279022217,6.08
15.60584282875061,2.44
15.656020879745483,9.64
15.706487655639648,1.73
15.755642175674438,9.32
15.806187152862549,9.69
15.855918407440186,8.83
15.906076908111572,9.84
15.956494808197021,6.16
16.005640745162964,9.05
16.05627179145813,12.28
16.105786323547363,5.0
16.15594744682312,6.0
16.206336498260498,5.0
16.25549840927124,5.19
16.306432485580444,13.22
16.35586667060852,2.23
16.40602159500122,8.54
16.456308841705322,4.0
16.505467414855957,7.93
16.556273460388184,6.48
16.605841398239136,8.42
16.65600609779358,10.53
16.706172227859497,8.18
16.7563316822052,5.47
16.80584192276001,10.58
16.85611343383789,5.29
16.90580701828003,7.68
16.956229209899902,4.89
17.006406545639038,3.6
17.055570602416992,3.74
17.106229066848755,6.24
17.155845880508423,5.91
17.20600128173828,6.92
17.25552725791931,9.64
17.30568265914917,10.24
17.35631775856018,5.91
17.40584707260132,13.07
17.456003427505493,2.0
17.506208658218384,6.32
17.556374311447144,6.0
17.605897903442383,9.53
17.65616750717163,7.28
17.705873250961304,7.74
17.756032466888428,4.24
17.80552649497986,11.35
17.855713605880737,9.32
17.906250953674316,1.73
17.956177711486816,6.16
18.00638461112976,13.92
18.055912971496582,8.36
18.1060733795166,9.38
18.155614852905273,8.48
18.20577311515808,6.4
18.256407022476196,3.16
18.30584692955017,10.34
18.35599994659424,5.0
18.406111001968384,9.43
18.4562931060791,3.87
18.505854845046997,12.48
18.556021451950073,6.85
18.605909824371338,6.0
18.65608310699463,11.26
18.70586585998535,12.32
18.756027936935425,9.43
18.80589985847473,13.26
18.856083154678345,2.0
18.905861854553223,7.14
18.956334114074707,13.3
19.00607395172119,5.29
19.05630660057068,5.91
19.10598587989807,5.29
19.15615963935852,12.0
19.205868005752563,6.92
19.25603151321411,2.0
19.30588698387146,2.23
19.35604691505432,11.09
19.405893325805664,6.78
19.45607018470764,6.7
19.505877256393433,1.41
19.556036472320557,10.34
19.60553765296936,6.48
19.655710220336914,8.0
19.706161499023438,8.24
19.756332397460938,9.11
19.805856227874756,3.6
19.856021881103516,11.18
19.90559482574463,11.4
19.95606780052185,5.91
20.005955934524536,11.18
20.056134700775146,14.31
20.105960845947266,9.64
20.15613079071045,1.73
20.20591926574707,9.43
20.256075620651245,12.56
20.305873155593872,4.69
20.356045722961426,6.08
20.405921936035156,8.83
20.456083297729492,6.78
20.50594186782837,7.87
20.556103706359863,7.74
20.605977058410645,10.04
20.656161785125732,10.29
20.705958604812622,7.48
20.75612163543701,11.74
20.80594778060913,11.91
20.856137990951538,6.08
20.90565776824951,8.54
20.956141471862793,5.56
21.005796432495117,5.74
21.055956602096558,6.48
21.106467723846436,11.78
21.155913591384888,6.63
21.20615792274475,7.0
21.25588607788086,7.07
21.30604910850525,5.0
21.355987071990967,10.48
21.40616488456726,8.3
21.45632314682007,13.19
21.50553297996521,5.0
21.55616521835327,9.43
21.605912685394287,11.87
21.656171083450317,8.18
21.70648193359375,1.41
21.75563931465149,8.83
21.806201219558716,8.3
21.855940103530884,4.58
21.906198740005493,6.7
21.95621347427368,7.74
22.006350994110107,6.48
22.05589723587036,5.91
22.10605502128601,9.89
22.155633687973022,8.12
22.20579171180725,6.55
22.25645136833191,8.94
22.305856466293335,6.16
22.356098651885986,12.76
22.406221866607666,1.41
22.4563889503479,9.21
22.505861520767212,7.0
22.556023120880127,12.52
22.60588788986206,9.89
22.65606427192688,5.29
22.705873012542725,7.41
22.756025314331055,11.35
22.80582284927368,2.0
22.855989933013916,6.85
22.905545949935913,9.53
22.956033945083618,3.46
23.005861520767212,5.83
23.056039094924927,2.0
23.106485843658447,4.89
23.15564775466919,10.9
23.206162452697754,13.22
23.255855798721313,10.86
23.306013584136963,1.73
23.355904579162598,5.19
23.40605854988098,6.63
23.45554208755493,9.79
23.50570297241211,3.0
23.556306838989258,7.14
23.605911254882812,3.87
23.656158447265625,8.6
23.706326484680176,1.73
23.755486249923706,4.89
23.8061044216156,4.47
23.85592532157898,11.87
23.906171083450317,7.0
23.95622968673706,8.66
24.00643301010132,8.06
24.055930137634277,5.09
24.106090784072876,8.3
24.1558039188385,8.24
24.20596408843994,8.06
24.2556471824646,8.88
24.305819749832153,11.61
24.355962991714478,8.94
24.406135320663452,11.74
24.455927848815918,6.63
24.506094694137573,8.24
24.555889129638672,7.81
24.60604739189148,12.12
24.655614376068115,8.48
24.705772161483765,9.43
24.75638461112976,4.0
24.805847883224487,12.88
24.85610270500183,12.76
24.906270742416382,6.48
24.956751585006714,3.0
25.005870819091797,13.82
25.056039810180664,5.09
25.105581283569336,1.73
25.155754327774048,6.24
25.20555353164673,12.84
25.25571370124817,5.09
25.306385278701782,8.42
25.355902194976807,8.71
25.406141996383667,2.64
25.455652952194214,8.83
25.505821228027344,9.53
25.555598258972168,8.94
25.605759143829346,6.24
25.65630340576172,7.41
25.70590353012085,10.63
25.756141662597656,13.07
25.8063805103302,3.16
25.855551958084106,7.87
25.906184673309326,9.74
25.95591115951538,10.63
26.006219387054443,11.53
26.055959939956665,10.09
26.106127977371216,2.0
26.155896425247192,10.95
26.2060706615448,12.12
26.25572657585144,8.88
26.306175470352173,5.74
26.35596799850464,11.53
26.406153202056885,9.53
26.45591139793396,6.0
26.506069660186768,6.4
26.555904865264893,5.65
26.60607624053955,10.67
26.65571880340576,11.04
26.705894231796265,8.24
26.75635027885437,7.93
26.805506944656372,6.0
26.856296062469482,9.38
26.905995845794678,8.88
26.956512928009033,8.77
27.005854845046997,6.48
27.056020975112915,8.18
27.105528354644775,8.0
27.15570044517517,1.0
27.206199645996094,9.27
27.256360054016113,4.79
27.305902242660522,10.04
27.35606288909912,11.95
27.40589451789856,1.73
27.4560763835907,7.41
27.50602102279663,7.21
27.556179523468018,1.73
27.605924606323242,10.29
27.656099319458008,1.73
27.70562434196472,6.32
27.755794048309326,15.23
27.806378841400146,8.36
27.855544328689575,1.41
27.906176567077637,10.39
27.95618987083435,8.0
28.006449222564697,6.32
28.05557870864868,14.79
28.105733156204224,1.73
28.156229734420776,2.44
28.206392288208008,8.24
28.255927801132202,13.41
28.30608606338501,11.53
28.355958700180054,9.84
28.4061176776886,5.47
28.455756664276123,7.07
28.505924463272095,5.47
28.55567955970764,9.11
28.60584259033203,1.73
28.65574550628662,8.88
28.70590829849243,5.29
28.756462812423706,10.34
28.80591607093811,11.74
28.856171131134033,5.74
28.9059100151062,7.54
28.95639419555664,8.36
29.005892753601074,12.28
29.056055307388306,11.0
29.105931520462036,4.58
29.156100749969482,5.38
29.205559730529785,13.0
29.255722045898438,12.16
29.305596828460693,7.93
29.355753421783447,10.19
29.406339645385742,8.66
29.456029415130615,10.63
29.506187438964844,10.9
29.5564067363739,9.94
29.605566024780273,3.74
29.656363010406494,8.66
29.70591139793396,9.84
